City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.0516009496048168,0.0337122799162966,0.0753670296578572,0.1274298768710444,0.0858509782946195,0.1709339050106668,0.40493603911299053,0.877882013169565,0.19722406689411823
Addis Ababa,0.8100178801829311,0.7162921746698948,0.8672306427078562,0.3950464677184458,0.3227473560586754,0.4530115968004008,2.0504369646971257,2.687026327026499,1.5811784504613835
Arusha,0.3734685256800566,0.285550791220853,0.4602369501874511,0.2364303366109305,0.1701603682732613,0.2986265161687697,1.579613390707285,2.7047246950497574,0.9562137846442045
Bamako,0.6604724073255919,0.4983120161732525,0.7907659006716005,0.4449609618872936,0.3299363787759736,0.5458717728624709,1.4843378720780593,2.3967223729776386,0.912873757073347
Beira,0.3285572500221694,0.2495975508922948,0.3995329720962947,0.1264540411712022,0.0847558224631004,0.1794590770732749,2.5982344809158446,4.7139295034301245,1.3908326898972163
Gombe,0.173368712600018,0.1475595040402177,0.2127058123418586,0.2419617711373255,0.1747337062301704,0.3143607239299826,0.7165128267375035,1.2173141457989158,0.46939548361990524
Ibadan,0.2154348209458893,0.1424572315666047,0.2947680325084564,0.3727215656474499,0.2709025473595634,0.4686349122703862,0.5780047112961124,1.0880962005765744,0.3039833948274255
Johannesburg,0.2740748234938582,0.1877624048691993,0.3603836560422203,0.2110311334664274,0.1378362731469549,0.2909730629696314,1.2987411809426703,2.6145777727028015,0.6452913646126615
Kampala,0.1928568095744678,0.1224067500192162,0.2734179269153325,0.2691671813314892,0.1862146597979255,0.3524710493936364,0.7164945169781215,1.4682943180308003,0.34728171357561194
Khartoum,0.3412255687987316,0.2380399557862362,0.4268619647353816,0.0570845707815389,0.0379773221725328,0.0790690458784861,5.97754461717147,11.239917411662866,3.0105327962608506
Kigali,0.2175397643307274,0.13894245435733,0.3241858292348181,0.1931433317130827,0.1257717868414405,0.2647751649880228,1.1263125804098997,2.577571944998417,0.5247563696678845
Kinshasa,0.7362562123450178,0.6158885425377962,0.8125408345510413,0.9034424916240886,0.8457534646058843,0.9379802834265268,0.8149452999730779,0.9607301282882479,0.6566113951648319
Lagos,0.1528038139475101,0.0987426382576837,0.210616295351517,0.310860631707113,0.2175827604171399,0.4057259738579268,0.49155086994572855,0.9679824584803175,0.2433727309069457
Luanda,0.0649742866366727,0.0453420661492526,0.0885254042575398,0.0222744613397923,0.0147324507168632,0.032967596392986,2.916985764347043,6.0088715692231025,1.3753525009454228
Lubumbashi,0.8830701882685075,0.7978589696748895,0.91831309802334,0.8166673121465564,0.7505764172889041,0.862761988563434,1.081309579965207,1.2234771528531418,0.9247729736023569
Nakuru,0.4575466546325577,0.3889054695866932,0.5372730642997532,0.5258033688273119,0.4035445503930946,0.6302376564407324,0.8701858560796487,1.331384759814977,0.6170774875354753
Ndola,0.1120017293952934,0.0726549567005266,0.1535535768975092,0.0434876070897353,0.0299830790827622,0.0563677611098829,2.575486141699666,5.121341156245353,1.2889452280869125
Oyo,0.5503673806299354,0.4175883107012279,0.6324637359614208,0.3119423118475332,0.2377458918537377,0.375951959842775,1.764324234728812,2.660250955463471,1.1107491257017663
Port-Elizabeth,0.3800336814069158,0.2719094208571704,0.4864540272211145,0.3543210277588239,0.2509063651814356,0.4526981813102162,1.072568805218057,1.9387871123530465,0.600641734566284
