City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.2078437541695987,0.1400582538546347,0.2878691071468896,0.3638221082874932,0.2627401130860184,0.4642357380536386,0.5712785161625198,1.0956420158525404,0.301696406316853
Addis Ababa,0.9458639289611678,0.922493876098425,0.9577695747224692,0.616904201701335,0.5425493628385311,0.6850644498159548,1.5332428055322174,1.7653132421197082,1.3465796923869813
Arusha,0.8303655998712397,0.6593540989796509,0.9219144047255596,0.5425882563343405,0.4204098145578508,0.6536166595323085,1.5303788649630707,2.192894582385395,1.0087779883876395
Bamako,0.9529916719157536,0.919784056293074,0.9660353540320666,0.7743412168256664,0.7007130986566795,0.8221331368794556,1.2307128320282972,1.3786460619674874,1.1187775009097296
Beira,0.7207169508531311,0.5639859403735991,0.8611472548234733,0.4163380946193997,0.2839139696014555,0.5520029888435127,1.7310857693961033,3.0331274506580623,1.0217081279853057
Gombe,0.4871444114842558,0.3572322983836352,0.5488096029084989,0.5462668382744583,0.4426846870692287,0.6288146579587715,0.8917700606228308,1.2397302616041788,0.5681042797940905
Ibadan,0.6380221055421313,0.5036232911614508,0.7490779048921581,0.755427010766429,0.6388310534092058,0.8412001069937787,0.8445847136109379,1.1725759117290957,0.5986961805809369
Johannesburg,0.6511688896177213,0.521908539592884,0.740755182213974,0.5992707625762685,0.4540001150748365,0.7090799257805291,1.086602134264556,1.631618930519146,0.7360362642030603
Kampala,0.5713378158492396,0.4303577170125221,0.694090210362996,0.6420915003528639,0.5115396017728837,0.7547962742794638,0.8898074737560904,1.3568650559163593,0.5701640716540975
Khartoum,0.7103938285534451,0.5851525544904265,0.7666283626539606,0.1747585578322675,0.1259251198237276,0.2236597610432686,4.065001664955818,6.087970086723775,2.616262092747316
Kigali,0.6489593224844432,0.5160607848686082,0.7864428897200363,0.5418580444749017,0.3999865273219608,0.6711418401671899,1.1976556020559408,1.9661734483546878,0.7689295376668082
Kinshasa,0.956786349793022,0.9096465008966113,0.9838661672149736,0.9853005076068312,0.9721380866979776,0.991787008812454,0.9710604454238368,1.0120642125614399,0.9171792862923299
Lagos,0.4733295310232504,0.3346379089789748,0.6178419470049483,0.7189862057006979,0.5839817915065718,0.8131835679908778,0.6583290851344785,1.057981526120914,0.41151582760797834
Luanda,0.2011681725169131,0.1466482332081836,0.2541524012983936,0.1051016628085791,0.0616384460795636,0.155042463552385,1.914034156465243,4.123277231394361,0.9458585077154351
Lubumbashi,0.9659778426663036,0.9417865820637844,0.9830329474910536,0.9432975468701872,0.9192760893008776,0.9597979051259122,1.0240436285150625,1.0693555058509834,0.98123425466347
Nakuru,0.7595841330293416,0.6701252221675019,0.8083772994584222,0.8507844747658172,0.7933458619081742,0.8988753728194756,0.8928044123494625,1.0189468909739996,0.7455151653176793
Ndola,0.2887687332283336,0.221916850940392,0.3832273025399169,0.1314740655139774,0.0920109885026914,0.1789601856870457,2.1963931220917003,4.1650166874221455,1.2400347601810506
Oyo,0.8539068042656829,0.7636841478620976,0.91505012336225,0.5776094597931426,0.4883303721678492,0.6625891001665869,1.4783462940019885,1.8738341408093462,1.1525757783671564
Port-Elizabeth,0.7238418810390129,0.6422107685058855,0.7859842930805188,0.726625401619909,0.625587302082468,0.7963662057202343,0.9961692495545977,1.256394256187934,0.8064264453877341
