City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.8517612064185768,0.6992790356000035,0.9238296934829606,0.7109364153712634,0.6215495873058269,0.7700508543778388,1.1980835247745358,1.486333049447268,0.9080946169003146
Addis Ababa,0.9638182858878026,0.9403383936609132,0.9762163563388891,0.7876006110300082,0.6554577742625066,0.8388703731298289,1.2237398909928987,1.489365745089051,1.1209579260172304
Arusha,0.9967494114955078,0.9822787973770942,0.9994673344255712,0.9565286581647372,0.8318149141451635,0.9866217548482216,1.0420486652307324,1.2015501494736964,0.9955981535479161
Bamako,0.9819964231653092,0.9551625252394558,0.9876729118663716,0.8541029338552338,0.7895815885772506,0.9027236387159157,1.1497401358086807,1.2508813859832553,1.0580896348279216
Beira,0.5899048304517606,0.5236318972242933,0.6226344617495628,0.399835185496838,0.342308033029607,0.4207215899487673,1.475369982055833,1.8189303249442288,1.2446042935140498
Gombe,0.6447310470020083,0.5819045022063585,0.6528898259999504,0.6043687078532558,0.4340099425176756,0.7396549348952904,1.0667842967782388,1.5043199752811207,0.7867242882503529
Ibadan,0.8322431346146951,0.7622107211425726,0.8701374740586082,0.7955503268540096,0.7297065931835692,0.8453641903391459,1.046122547527303,1.192448419935972,0.901635921953101
Johannesburg,0.5721736752157386,0.438234282894675,0.6622010656425761,0.4628268773983792,0.3470698560669691,0.5428903688068906,1.236258530256528,1.9079763167758383,0.8072242722923633
Kampala,0.8956275336650434,0.8303167560923924,0.9346183615821266,0.9567019562161792,0.9010000181394404,0.9809129331102971,0.9361614950671898,1.0373122561219343,0.8464734514811711
Khartoum,0.998238329597664,0.9899354147859812,0.9993301893426008,0.8337015251586717,0.7076785136857497,0.894685892880827,1.1973569670604565,1.4121245311488448,1.1064614102704329
Kigali,0.9842065248667576,0.9562330667655004,0.9921835729530714,0.9475842007329216,0.8318275197691456,0.976827877817798,1.0386480949191745,1.192775604765311,0.9789166428190954
Kinsasha,0.7763480790636258,0.5189989244246439,0.8314591662609795,0.8292778646200301,0.7323053288783541,0.8940629781239647,0.9361736423766039,1.135399584671186,0.5804948164990263
Lagos,0.6042856663588605,0.4960674483132262,0.7012279839045915,0.7792658235169279,0.6830730023574347,0.8563110368323767,0.7754551118790771,1.0265783913059072,0.5793075494486842
Luanda,0.5893447280313366,0.5405193343805402,0.6433031696675541,0.5624594618931243,0.4720103746034029,0.6353670458846121,1.0477994734904486,1.3629004875328778,0.8507198128728618
Lubumbashi,0.8098516998143176,0.708613887269327,0.910942836163037,0.4678577924741231,0.3034958360945476,0.6480757777206945,1.7309783289739904,3.0015002771875006,1.0934120848669073
Nakuru,0.9017248570107248,0.7329108403478091,0.9481278382667784,0.8206105909437297,0.7477340556234038,0.8461075808757687,1.0988462334780629,1.2680014119141618,0.8662147189240467
Oyo,0.9928890873935836,0.9833496007822072,0.9956019336175226,0.9630109571118476,0.9348405164211532,0.9654582154886135,1.0310257428132938,1.0649965594441522,1.0185314962435106
Port-Elizabeth,0.6073206475465875,0.5625503582418492,0.6795108818856076,0.3653259914440766,0.3176719084275213,0.4296130814081783,1.6624074436804888,2.1390335873549295,1.3094348905716078
