City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.1262409902725638,0.0754380015032027,0.1773282957777527,0.1027973750940062,0.0636207655680371,0.1461588926186276,1.2280565545289348,2.787270699974757,0.5161369257226317
Addis Ababa,0.5924593969385265,0.4695468963594969,0.6837050591148965,0.2246612829151478,0.1835836389543838,0.2616957078176693,2.637122824417824,3.724215638218072,1.7942476025882828
Arusha,0.4032983315874351,0.2851593116039968,0.5327594967054802,0.2415225153827629,0.1750426387186351,0.3038289658524658,1.6698167081784951,3.0435984089673256,0.9385520923059895
Bamako,0.2801282839718579,0.2231050054425049,0.367561600196011,0.2481286789074865,0.1711732435391187,0.3239756239920744,1.1289637506041867,2.147307561605042,0.6886475059245902
Beira,0.0927291866983921,0.0788142556814498,0.1077251253353526,0.0458038881930292,0.0301902484590154,0.0734627995268199,2.024482862843604,3.5682093004830424,1.0728457966358358
Gombe,0.1965692727057411,0.1298925781817741,0.2312569333761939,0.103935261655507,0.0770507366802962,0.1219422252702277,1.8912664438876303,3.0013591477488375,1.0651977023867505
Ibadan,0.1665921451268417,0.111962794669748,0.2226105851054864,0.1254393669671565,0.0759881598922991,0.1852079496934275,1.3280690835314894,2.9295430422450135,0.604524777986467
Johannesburg,0.0349943298648112,0.0204997276223265,0.0562566946194975,0.021642152822643,0.0088886053732366,0.0359015571326559,1.6169523499620864,6.329080013933929,0.5709982869706796
Kampala,0.1563440758951117,0.0960809996543249,0.2273914915609372,0.199351540850646,0.1406111790871522,0.2714679170343045,0.7842631926895642,1.6171651005073906,0.3539313253071576
Khartoum,0.7103938285534451,0.5851525544904265,0.7666283626539606,0.1747585578322675,0.1259251198237276,0.2236597610432686,4.065001664955818,6.087970086723775,2.616262092747316
Kigali,0.2522987792620612,0.1925936988803052,0.3256358056162793,0.1160102776671369,0.0738983708000022,0.1816078733887026,2.1747967881429506,4.406535652830247,1.0604920110929839
Kinsasha,0.0253220701488777,0.0122508171189548,0.0521475606218086,0.1478021772642978,0.0918599449800436,0.2123745422959569,0.1713240671928474,0.5676855198763461,0.057684960666719354
Lagos,0.1051375221895692,0.0749392315050663,0.1407530867446438,0.1620185204673193,0.11144321193193,0.2118989008468697,0.6489228631783269,1.2630027823553434,0.35365559333043306
Luanda,0.1955693915362431,0.1418892021142222,0.247965612759687,0.0885903920026044,0.0532492722048866,0.1290892592234099,2.2075688696635827,4.65669487097575,1.099155754458703
Lubumbashi,0.1306953756758073,0.093430932726055,0.1594667400934343,0.0138023113180873,0.0063200405705846,0.0253676142495703,9.469093448467357,25.231917155032395,3.6830792130023666
Nakuru,0.0206613283605058,0.0107865176243842,0.0307076595871681,0.001092893947451,6.620082550975651e-05,0.0017340629573885,18.905153980123174,463.85614304224174,6.220372552464129
Oyo,0.3389864532941639,0.314196992587487,0.3776598170610851,0.2922088187599519,0.2022969068988908,0.3688333605159649,1.1600828980204037,1.8668590778298044,0.8518670657880663
Port-Elizabeth,0.0801816616021137,0.0494697668952703,0.1162339168681109,0.0530651126584886,0.0317271151321318,0.0721392460216124,1.5110052082267156,3.663551393942981,0.6857538666324502
