City,Normalized_Population_file1,Population_Lower_file1,Population_Upper_file1,Normalized_Population_file2,Population_Lower_file2,Population_Upper_file2,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Arusha,0.9998479859370698,0.9987452034290842,0.999950593574824,0.9921307362138064,0.9790615617344286,0.9948256576134716,1.007778460480636,1.0213357695336236,1.0039399323746991
Johannesburg,0.7221059443434884,0.6336533926730565,0.7993146844859356,0.5623192231359919,0.5173134000770775,0.6382904575301886,1.2841566047064579,1.5451265796842708,0.9927351806651241
Kampala,0.9609506041946698,0.9181013389207652,0.9812831222129476,0.987769109047412,0.9724795746300584,0.9915918615870132,0.9728494193561029,1.0090526812208247,0.9258863192476907
Kigali,0.9936296781250008,0.9881682821993526,0.997214513892407,0.9865703582138988,0.965265663858724,0.9937859431899152,1.0071554145655484,1.033098504618889,0.9943472122653187
Kinsasha,0.8451389262398588,0.8131834761206326,0.944148169649348,0.940752057990204,0.8722381342983823,0.9785913604656464,0.8983652164900809,1.0824431224952225,0.8309734879875628
Lagos,0.7896735564970127,0.652170072897588,0.8854192767869382,0.91294680583939,0.8229605111735845,0.9579544924200956,0.8649721445390935,1.0758952158278947,0.68079441983721
Luanda,0.6853431448756844,0.6238291353502389,0.7509182065239929,0.6873257732148181,0.6059927517282632,0.741532246935086,0.9971154459553285,1.2391537759856188,0.8412704072259303
Lulumbashi,0.970960813862355,0.8482986009964051,0.9791943064849896,0.7818312585158579,0.5739178979629871,0.9311445758937276,1.2419058502540814,1.7061574660076892,0.9110278070214761
Nakuru,0.966769871878336,0.9187287124328736,0.9898227638192396,0.8654894463753996,0.8363436893650202,0.953087988540731,1.1170209826671955,1.1835119657215871,0.9639495235267158
Accra,0.9567554516088566,0.8982884568288136,0.9805161529185246,0.8050060377872801,0.7479835686335872,0.846903170237282,1.1885071747271487,1.3108792679894383,1.0606743349149759
Addis Abeba,0.981972985399301,0.9710767162991608,0.9907178419747844,0.8723127557135321,0.829846109920502,0.9326397321705218,1.1257120556446172,1.193857306952603,1.0412131102748379
Bamako,0.9963083772131603,0.9841538094160176,0.9979414400711002,0.961522944486375,0.8777638812358296,0.988711205851808,1.0361774338576673,1.1369133105204432,0.9953905686424742
Beira,0.6584821897550762,0.5946625158677871,0.7806062677769564,0.4518751893632643,0.4101510302932976,0.5398346927567653,1.4572213860268386,1.903216644899679,1.1015640970220595
Gombe,0.7027739739813746,0.6462076107356861,0.7294925817868912,0.793068929125676,0.6930306605105059,0.8393552842665762,0.88614488371919,1.0526122772829798,0.7698856763621124
Ibadan,0.9203776276299532,0.842554864811431,0.9504906633709352,0.8890855158221841,0.8225794968712042,0.9456937590646284,1.0351958402773345,1.1555000665422113,0.890938379084567
Khartoum,0.9994080910952882,0.9993301893426008,0.9994080910952882,0.9350253531419204,0.8742918581257755,0.9812575012852276,1.0688566761714275,1.1431057967733167,1.018417885247962
Oyo,0.9956019336175226,0.9956019336175226,0.9986746081283104,0.9666863250443748,0.9651523662921624,0.9684336703496844,1.0299120902241174,1.0347325904250029,1.0280538193782836
Port-Elizabeth,0.7618817378176397,0.6441211157256362,0.9074640445987832,0.5247905354821112,0.3997106509086933,0.6482973383481128,1.451782542377063,2.270302386328147,0.993558167872295
