City,Normalized_Population_file1,Population_Lower_file1,Population_Upper_file1,Normalized_Population_file2,Population_Lower_file2,Population_Upper_file2,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.1054183110169494,0.0635496192555814,0.1496549028115816,0.2129353202252495,0.1515089552386002,0.2791554654923658,0.49507198197760094,0.9877627535342793,0.2276495613062583
Addis Abeba,0.9001111533406804,0.8448623236746275,0.9277085244941496,0.4980495466045641,0.4286383998890357,0.5552108185140952,1.8072723074986368,2.164315014087192,1.521696435843458
Bamako,0.8731788887612579,0.7366339954329975,0.9287676683522323,0.6290974677471588,0.5033223618219383,0.7179766761619112,1.3879866531464058,1.8452740009211133,1.025985968472991
Beira,0.4884462473706922,0.3609708223290281,0.5887877903093455,0.2291694408892852,0.1547236020823178,0.3027917956769134,2.1313760049127453,3.805416771489665,1.1921420179897912
Gombe,0.284101027589429,0.1961602278914912,0.3781024398271943,0.3804397780051344,0.2828923845156263,0.4621971138775242,0.7467700382939315,1.336559273147591,0.4244081626686032
Ibadan,0.3939030192125164,0.2542635256827983,0.5372950569129176,0.5524191744981108,0.4272827637433762,0.6627431632482651,0.7130509536899927,1.2574695318990545,0.3836531854007985
Johannesburg,0.43953994227403,0.3219621455042077,0.5464583828711895,0.3696775386729213,0.2528112188324067,0.4819524001836417,1.1889820080816993,2.1615274250682956,0.6680372281194744
Kampala,0.3495928120201039,0.2366799248508106,0.4539334935396355,0.4282561829857794,0.3149886457358729,0.5361934035872806,0.8163170221682764,1.4411106548909447,0.4414077518808645
Khartoum,0.4955469689614143,0.3912071644798252,0.6136617590487415,0.101211886778431,0.0689916071574751,0.1338247624863713,4.896134087948047,8.894730595970072,2.9232793483916377
Kigali,0.4256325437181353,0.2720765714577279,0.5426797112185321,0.3266331549760146,0.2339614984108865,0.4243064106013714,1.303090446373671,2.319525712155725,0.6412266340075148
Kinshasa,0.8588041791324292,0.7850757126699854,0.9210499201706098,0.9585612088915402,0.9253807172029856,0.9755054378064416,0.8959304540661854,0.9953199834923447,0.8047886585187433
Lagos,0.2689415501185724,0.184151227170474,0.3565558958576897,0.4934631713047831,0.3639116018774294,0.610190537522111,0.5450083527154715,0.9797871076882644,0.301792990625983
Luanda,0.1157780128410224,0.0772239411508725,0.1564343398827919,0.0442441204704439,0.027865604265736,0.0678094334704123,2.6167999637005965,5.613886510085342,1.1388377280067985
Lulumbashi,0.9330423199627644,0.9068182631818208,0.9459464679420988,0.8952079213760661,0.8440131626667441,0.9250587620298644,1.0422632526849642,1.120772174871404,0.9802817944148561
Nakuru,0.6022188093621299,0.5024029966762626,0.6937017807109206,0.7204403897852316,0.5927418030833403,0.8063607753636742,0.8359037304136371,1.1703270751318768,0.623049895314756
Ndola,0.1875928137825586,0.1368568859538276,0.2339719697342952,0.0717442572128401,0.0503658799340515,0.097954337529151,2.614743271033337,4.645445885997731,1.3971498292569158
Oyo,0.6958985150569577,0.6080352728288876,0.7758429251940888,0.4353364324385437,0.3485771412327029,0.5025884625843584,1.598530385244514,2.225742406545678,1.2098074629535096
Port-Elizabeth,0.5707637738446099,0.4398711402805893,0.6615904315628526,0.545691204796655,0.4088863345987387,0.6490507110243182,1.045946441554428,1.6180301848730296,0.6777145958077666
Arusha,0.5560757722282971,0.4177776958236345,0.6925733878376407,0.3547694347947202,0.2728341298922177,0.4405253363497126,1.5674286386877114,2.53844116977315,0.9483624694221451
