City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.987041511860602,0.9610435090003476,0.9990586648707654,0.986472581007349,0.9503414921961024,0.9969186957677704,1.0005767325561872,1.0512628071853252,0.9640139292003209
Addis Ababa,0.99164580083524,0.9907677685293308,0.9942788275924956,0.911250888716444,0.8908958359052759,0.947512023149092,1.0882247832230239,1.1160438600346223,1.0456519224278302
Arusha,0.9999786889940664,0.9998315481318104,1.0000000000000002,0.9998455226525274,0.9991641224340932,0.9999705006546792,1.0001331869159005,1.0008365768417211,0.9998610433780019
Bamako,0.998457772979959,0.998370023161202,0.9991591344861102,0.994325707721972,0.989047198444656,0.9969050236537188,1.0041556456057579,1.0102239165707723,1.0014695477229254
Beira,0.9951427647516864,0.9941706451739368,0.9958199644818624,0.9917680849027338,0.9752538256683548,0.9936453489706172,1.0034026905083193,1.021087985786073,1.0005286556253334
Gombe,0.8566749242411089,0.8356761075416054,0.8712609486541988,0.9186478480469796,0.9037894159963012,0.9332005731645534,0.932538976782427,0.9640087981045403,0.8954946359578035
Ibadan,0.998315716973228,0.9978987794751888,0.9987332761049972,0.9995979794319598,0.9984222257431886,0.9997099120847824,0.9987172218380628,1.0003115419046056,0.9981883418502706
Johannesburg,0.9953533231677036,0.9813161935212896,0.9992975933650838,0.989471828425282,0.9846275325678772,0.9998749358289196,1.005944074983703,1.0148990966756206,0.9814389363683326
Kampala,0.9962873178791573,0.9958591180088524,0.996300714995746,0.9970348973663892,0.9968818458033406,0.9970383682485686,0.9992501972707208,0.9994170514689971,0.9988172468810927
Khartoum,0.998238329597664,0.9899354147859812,0.9993301893426008,0.8337015251586717,0.7076785136857497,0.894685892880827,1.1973569670604565,1.4121245311488448,1.1064614102704329
Kigali,0.999727777883582,0.9986538343253304,0.999727777883582,0.9994192409524608,0.9963936191422184,0.9995688313966946,1.0003087162208595,1.00334622650859,0.9990846082404493
Kinshasa,0.9960323949446116,0.995996032929197,0.9960323949446116,0.9988895145777328,0.9988790900674044,0.9988934507430948,0.9971397040499229,0.9971501104076563,0.9970993724988964
Lagos,0.9947702529478534,0.9894798491688164,0.9952311162062212,0.992934774180039,0.988391272618995,0.994229837415994,1.0018485391140926,1.006920178047609,0.995222444480722
Luanda,0.5957209065352841,0.5445394853956167,0.6488353116252942,0.5946718459406668,0.5025223817993284,0.6595973119975302,1.0017640999851907,1.2911570412089481,0.8255635301886367
Lubumbashi,0.997254549192316,0.9971493726476072,0.9982563066201364,0.9988124845922728,0.9986420427985072,0.9993027063386551,0.9984402123281502,0.9996137392961247,0.9978451637552973
Nakuru,0.9999999999898962,0.9999999999898962,0.9999999999898962,1.0,1.0,1.0,0.9999999999898962,0.9999999999898962,0.9999999999898962
Ndola,0.9981119574878092,0.9359552844391218,0.9983695629298868,0.948693338060268,0.8333100234434369,0.9760121958663008,1.052091247450503,1.1980769879670765,0.9589585953978528
Oyo,0.9996906832137396,0.9996906832137396,0.9999999999414384,0.9791280560964484,0.9756426141377624,0.9819706335723416,1.0210009579331936,1.0249654796241163,1.0180453967110337
Port-Elizabeth,0.9938636287886464,0.9763291353886948,0.9962528034938412,0.998216814948984,0.9977442366512989,0.998719996753176,0.995639037436411,0.9985051949160204,0.9775804415278821
