City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.6461236825511992,0.449054591272198,0.8012492428621276,0.7531452108657933,0.6383893154100398,0.8421157550737478,0.8579005392710851,1.2551106723136214,0.5332456833477391
Addis Ababa,0.984659327628136,0.9743864296736549,0.9886237288481764,0.8147937778798462,0.7585403683594597,0.8674838151110157,1.2084767389735014,1.303323817803305,1.1232329787604838
Arusha,0.992863323170196,0.9825918827529548,0.9986655540989704,0.920350079842307,0.7971182078296801,0.9761002158815508,1.078788761924499,1.252844991231658,1.006650615137444
Bamako,0.9897772296456768,0.9846337206799968,0.9962419999219504,0.9326086877414266,0.8920773122292537,0.9583417050013802,1.0612996025618204,1.1167664352234166,1.0274349071332325
Beira,0.9763284645072134,0.9556159560516704,0.982614884013204,0.8680774745578456,0.7625973554220998,0.9273204603404916,1.1247019916102596,1.2885107416473058,1.030513179554767
Gombe,0.7796678842878783,0.700337132591081,0.8270292876257086,0.8380412061370961,0.7573031345247443,0.8740734620547967,0.9303455230819897,1.0920716552226102,0.8012337211848402
Ibadan,0.9370042706015824,0.8863137094307699,0.974566150952116,0.961881682853334,0.927843703376738,0.9845958150297036,0.974136723159178,1.0503559461634961,0.9001802525476216
Johannesburg,0.9075870915568756,0.8410025604793565,0.9470628506385056,0.9566434123292372,0.8754919994002129,0.981105488183004,0.9487203694290652,1.0817492921549539,0.85719891551813
Kampala,0.9482319736289412,0.8590772039521966,0.9828660537656276,0.9630139074209368,0.9015058231013956,0.9889492192076146,0.9846503423490701,1.0902492569424935,0.8686767604109373
Khartoum,0.896121608963434,0.8297166871446876,0.9345679676525686,0.4389582686452185,0.3321895323505879,0.539691153865039,2.0414733540142307,2.8133576667498343,1.5373916752250039
Kigali,0.9863154821757528,0.9338815726388566,0.9935911040968144,0.9448218559448744,0.8400805053941716,0.9714935760749192,1.043916878054628,1.182733199636164,0.9612843518862734
Kinshasa,0.995660036467442,0.9950949016378848,0.9957131916895058,0.9982599136251008,0.996734699188688,0.9986440781625242,0.997395590945631,0.998975146044365,0.9964460045352997
Lagos,0.9121052681954872,0.824689017490156,0.9474806570387062,0.9567927464825384,0.9198633054373178,0.9719892553560188,0.9532945055746544,1.0300233213327916,0.848454870201307
Luanda,0.3911454246780586,0.3265837109660582,0.4581325345791059,0.3026783919833019,0.2351841543778594,0.3771601522080637,1.292280635281151,1.9479736455503112,0.8659019492226089
Lubumbashi,0.9936927002780664,0.990510139869148,0.9965344619079542,0.986997701006872,0.97569095360931,0.994770646099715,1.0067831964191656,1.0213628180332504,0.9957170969536833
Nakuru,0.9286299215304332,0.8425809692448036,0.9899084145938464,0.9856634580200448,0.945580732830244,0.9965210533072248,0.9421369068463004,1.046878791228036,0.8455224969391972
Ndola,0.7017323708996448,0.5795611910121559,0.812598110840999,0.3985235517919862,0.2740184775258952,0.5577178314890756,1.7608303643392245,2.965486554694864,1.0391656107977751
Oyo,0.9512050621533024,0.9476441839183062,0.9958532403973293,0.905570278613837,0.8029028765021562,0.9621731631625656,1.050393420165378,1.2403159454799324,0.9848998290531153
Port-Elizabeth,0.9164567663448429,0.8762224439046916,0.9440334741045264,0.9870620516040894,0.9265804450783028,0.9972954268598598,0.9284692536355694,1.0188359565744436,0.87859867829096
